path,variant,seed_label,log_index,loss,grad_norm,learning_rate,entropy,num_tokens,mean_token_accuracy,epoch
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,22,8.898e-06,0.0003001,1.793e-05,8.78e-05,1721000.0,1.0,2.2
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,23,8.092e-06,0.0003185,1.398e-05,8.47e-05,1800000.0,1.0,2.3
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,24,7.978e-06,5.328e-05,1.046e-05,8.306e-05,1878000.0,1.0,2.401
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,25,1.013e-05,0.0001787,7.389e-06,0.0001002,1956000.0,1.0,2.501
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,26,9.123e-06,0.0001576,4.819e-06,9.203e-05,2034000.0,1.0,2.601
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,27,7.894e-06,0.0002555,2.774e-06,8.108e-05,2113000.0,1.0,2.701
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,28,7.559e-06,0.0003746,1.279e-06,8.425e-05,2191000.0,1.0,2.801
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,29,5.129e-05,0.0001089,3.522e-07,0.000318,2270000.0,1.0,2.901
finetune/logs/run_20260729_191301/D_sql.train.log,D_sql,unsuffixed,30,6.209e-05,0.000174,2.914e-09,0.0003429,2347000.0,1.0,3.0
finetune/logs/run_20260805_150945/A_cpt.train.log,A_cpt,unsuffixed,1,2.583,1.634,8.445e-05,2.343,72450.0,0.5189,1.281
finetune/logs/run_20260805_150945/A_cpt.train.log,A_cpt,unsuffixed,2,0.9931,0.4252,3.747e-05,1.03,144900.0,0.7923,2.561
finetune/logs/run_20260805_150945/A_cpt.train.log,A_cpt,unsuffixed,3,0.7976,0.3638,2.293e-06,0.833,217300.0,0.8275,3.842
finetune/logs/run_20260805_150945/BC_facts_answers.train.log,BC_facts_answers,unsuffixed,1,4.711,8.175,3e-05,0.7093,7025.0,0.5211,0.03044
finetune/logs/run_20260805_150945/BC_facts_answers.train.log,BC_facts_answers,unsuffixed,2,1.605,1.345,6.333e-05,0.9277,13620.0,0.7125,0.06088
finetune/logs/run_20260805_150945/BC_facts_answers.train.log,BC_facts_answers,unsuffixed,3,1.001,1.541,9.667e-05,1.038,20600.0,0.8104,0.09132
